,imdbid,Title,Decade,Genre,Director,year,bechdel_rating,dubious
0,38969.0,Song of the South,40s,Animation,"Wilfred Jackson, Harve Foster",1946.0,2.0,0.0
1,49833.0,The Ten Commandments,50s,Historical,Cecile B.DeMille,1956.0,2.0,0.0
2,44672.0,The Greatest Show on Earth,50s,Musical,Cecile B.DeMille,1952.0,2.0,0.0
3,61722.0,The Graduate,60s,Romance,Michael Nichols,1967.0,2.0,0.0
4,68646.0,The Godfather,70s,Crime,Francis Ford Coppola,1972.0,2.0,0.0
5,87332.0,Ghostbusters,80s,Fantasy,Ivan Reitman,1984.0,2.0,
6,88763.0,Back to the Future,80s,SCI-FI,Robert Zemeckis,1985.0,2.0,
7,92099.0,Top Gun,80s,Action,Tony Scott,1986.0,2.0,0.0
8,383574.0,Pirates of the Caribbean: Dead Mans Chest,2000s,Action,Gore Verbinski,2006.0,2.0,
